,M1,M2,M3,M4,C2,C3,C4,Skewness,Kurtosis,Mean,Absolute_mean,Peak_value,SRV,RMS,Crest_factor,Shape_factor
0,0.0,20.009384105359878,97.53555220174925,3670.541777512256,20.009384105359878,97.53555220174925,2469.4154206847707,1.0897135857408045,6.167749312921236,-3.5346276159491774,3.5346276159491774,26.462249755859375,1056.443480630864,5.701138174855126,4.641573128778241,1.6129388423069175
1,0.0,14.246761590557872,67.569197635119,2106.5466369756336,14.246761590557872,67.569197635119,1497.6359895210485,1.2565348165793468,7.378599778710953,-3.5308347680914345,3.5308347680914345,23.804718017578125,713.6140608148314,5.168515816955692,4.605716391441624,1.4638226245147952
2,0.0,24.762519463456577,113.41232381654876,6395.459606067936,24.762519463456577,113.41232381654876,4555.912495533738,0.920381762267152,7.429946973541849,-3.5266001710523005,3.5266001710523005,31.766265869140625,1383.797460633169,6.099133399912048,5.208324492394069,1.7294655203547302
3,0.0,20.48956170384051,81.73538900191622,4657.021073966639,20.48956170384051,81.73538900191622,3397.554657520176,0.881274352731488,8.092843000386422,-3.5218935670958094,3.5218935670958094,29.941558837890625,1081.9689218614633,5.735267735842099,5.220603503960807,1.6284614019643588
4,0.0,21.675643706773872,124.46433061703273,4968.454325211962,21.675643706773872,124.46433061703273,3558.9537349029447,1.2333516019539486,7.5749249614489695,-3.533119896930835,3.533119896930835,29.96868896484375,1166.8085816634082,5.844534191264726,5.127643706770528,1.6542133756462043
5,0.0,18.30073384851181,93.68173611104054,3711.804324584058,18.30073384851181,93.68173611104054,2707.0537464018603,1.1966087464801265,8.082763439557752,-3.6239532961895344,3.6239532961895344,27.118865966796875,988.0819807481229,5.606582857808739,4.836968730253624,1.547090262919192
6,0.0,30.823803619566515,162.60903564001214,9724.060030176464,30.823803619566515,162.60903564001214,6873.739421443659,0.9502006662054215,7.234701317862887,-3.5186065145395564,3.5186065145395564,35.872161865234375,1866.6197839297379,6.573005052768993,5.457497990226343,1.8680705062097953
7,0.0,24.062106944460545,125.00375204324823,6966.63001959214,24.062106944460545,125.00375204324823,5229.675047772171,1.0590648878393367,9.032488117338852,-3.520417888311125,3.520417888311125,40.254241943359375,1328.9997656414057,6.037834798402611,6.666999559843732,1.715090364257632
8,0.0,25.435954915002515,132.8757961615889,7314.2220302034275,25.435954915002515,132.8757961615889,5373.258622889305,1.0357949992436808,8.305038522583091,-3.5156336515178683,3.5156336515178683,38.47412109375,1428.5100164877801,6.14781545645991,6.258177618738171,1.7487076487066855
9,0.0,32.67989852698376,136.67683068901718,8541.380999224468,32.67989852698376,136.67683068901718,5337.453696022601,0.731600259146851,4.997729215661585,-3.5223048575663025,3.5223048575663025,31.41058349609375,2032.7951907429406,6.714650403157183,4.677917927242304,1.906322897841556
